First Name,Last Name,Job Title,Company,Email,Phone,LinkedIn,Address,City,Postal Code,Department,Region,Website,Type,Groupe,SIREN,Primes 2024 (EUR),Resultat net (EUR),Produits structures,Notes
,,,UNMI'MUT,,,,50 AVENUE DAUMESNIL,PARIS,75012,Paris,Ile-de-France,,mutuelle,,851629162,,,unknown,Sources: acpr_xlsx_2026.
,,,A2VIP,,,,20 rue de la Baume,PARIS,75008,Paris,Ile-de-France,,institution_prevoyance,,803795038,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE GENERALE INTERPROFESSIONNELLE,,,,108 RUE DE LOURMEL,PARIS,75015,Paris,Ile-de-France,,mutuelle,,437994205,,,unknown,Sources: acpr_xlsx_2026.
,,,BNP PARIBAS CARDIF,,,,1 BOULEVARD HAUSSMANN,PARIS,75009,Paris,Ile-de-France,,reassurance,BNP Paribas Cardif,382983922,,,no,Sources: acpr_xlsx_2026. Aucun mot-cle structures detecte dans le SFCR
,,,AUBEANE MUTUELLE DE FRANCE,,,,59 BOULEVARD BLANQUI  BP 3013,TROYES CEDEX,10012,Aube,Grand Est,,mutuelle,,780349924,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE D ENTREPRISES SCHNEIDER ELECTRIC,,,,"4 RUE DE L'OCTANT PARC SUD GALAXIE, BATIMENT ALPHA, 2 EME ETAGE",ECHIROLLES,38130,Isere,Auvergne-Rhone-Alpes,,mutuelle,,390820058,,,unknown,Sources: acpr_xlsx_2026.
,,,CAISSE MUTUELLE D ASSURANCES SUR LA VIE,,,,21 RUE LAFFITTE,PARIS,75009,Paris,Ile-de-France,,assurance_mixte,,784647307,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE PRECOCIA,,,,21 RUE DE SARLIEVE,COURNON D'AUVERGNE,63800,Puy-de-Dome,Auvergne-Rhone-Alpes,,mutuelle,,779209436,,,unknown,Sources: acpr_xlsx_2026.
,,,MUTUELLE FRATERNELLE D ASSURANCES,,,,6 RUE FOURNIER  BP 311,CLICHY CEDEX,92111,Hauts-de-Seine,Ile-de-France,,assurance_non_vie,,784702391,,,unknown,Sources: acpr_xlsx_2026.
,,,SOGECAP,,,,17 BIS PLACE  DES REFLETS TOUR D2,PARIS LA DEFENSE 2,92919,Hauts-de-Seine,Ile-de-France,,assurance_mixte,,086380730,,,unknown,Sources: acpr_xlsx_2026.
